,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,H25,H26,H27,H28,H29,H30,H31,H32,H33,H34,H35,H36,H37,H38,H39,H40,H41,H42,H43,H44,H45,H46,H47,H48,H49,H50,H51,H52,H53,H54,H55,H56,H57,WIDTH,DEPTH,VELOCITY
Tr09,0.686,0.848,0.876,0.713,0.972,0.803,0.829,0.848,0.848,0.011,0.003,-1.589,-1.301,0.787,0.873,0.763,0.848,0.013,0.045,0.494,1.369,0.796,0.796,0.784,0.784,0.039,0.039,0.992,0.992,0.829,0.827,0.773,0.773,0.070,0.071,1.328,1.318,3.000,7.000,13.000,25.000,0.000,0.000,0.000,0.000,100.000,100.000,92.857,83.333,0.000,0.000,0.000,0.000,-0.095,-0.013,0.003,-0.002,8.000,0.600,0.382
Tr10,0.133,0.101,0.056,0.070,0.092,0.097,0.075,0.101,0.070,0.002,0.001,-0.489,0.989,0.112,0.120,0.101,0.101,0.002,0.003,0.894,0.553,0.130,0.123,0.120,0.106,0.003,0.004,0.327,0.296,0.087,0.084,0.063,0.063,0.003,0.003,1.155,1.292,1.000,1.000,1.000,13.000,0.000,0.000,0.000,0.000,33.333,14.286,7.143,43.333,0.000,0.000,0.000,0.000,0.039,-0.011,-0.006,0.003,1.200,0.210,0.161
Tr11,0.569,0.527,0.461,0.499,0.758,0.519,0.496,0.527,0.499,0.003,0.001,-0.677,-0.401,0.639,0.622,0.569,0.527,0.031,0.036,0.981,0.951,0.607,0.608,0.573,0.582,0.020,0.020,1.098,1.074,0.695,0.695,0.615,0.615,0.065,0.065,1.652,1.652,3.000,6.000,13.000,25.000,0.000,0.000,0.000,0.000,100.000,85.714,92.857,83.333,0.000,0.000,0.000,0.000,0.054,-0.056,-0.003,-0.005,8.100,0.870,0.259
Tr12,0.516,0.489,0.431,0.454,0.673,0.479,0.458,0.489,0.454,0.002,0.001,-1.003,0.637,0.594,0.581,0.516,0.489,0.030,0.033,1.091,1.054,0.566,0.569,0.522,0.542,0.019,0.019,1.206,1.158,0.658,0.659,0.571,0.571,0.061,0.061,1.677,1.678,3.000,6.000,13.000,25.000,0.000,0.000,0.000,0.000,100.000,85.714,92.857,83.333,0.000,0.000,0.000,0.000,0.042,-0.057,-0.004,-0.006,6.950,0.330,0.707
Tr13,0.468,0.464,0.410,0.407,0.586,0.447,0.427,0.464,0.410,0.001,0.001,-1.694,1.707,0.545,0.534,0.468,0.464,0.023,0.025,0.987,0.948,0.521,0.524,0.473,0.487,0.015,0.015,1.084,1.042,0.603,0.604,0.518,0.518,0.049,0.048,1.647,1.650,3.000,6.000,13.000,25.000,0.000,0.000,0.000,0.000,100.000,85.714,92.857,83.333,0.000,0.000,0.000,0.000,0.029,-0.053,-0.004,-0.005,9.400,0.460,0.448
Tr14,0.393,0.383,0.351,0.330,0.491,0.376,0.355,0.383,0.351,0.000,0.001,-1.274,0.605,0.453,0.444,0.393,0.383,0.016,0.018,1.149,1.102,0.435,0.437,0.398,0.413,0.011,0.010,1.194,1.141,0.503,0.504,0.429,0.429,0.035,0.035,1.699,1.701,3.000,6.000,13.000,25.000,0.000,0.000,0.000,0.000,100.000,85.714,92.857,83.333,0.000,0.000,0.000,0.000,0.021,-0.042,-0.003,-0.004,11.100,0.500,0.125
Tr15,0.292,0.269,0.252,0.217,0.350,0.271,0.246,0.269,0.252,0.000,0.001,0.404,-0.963,0.330,0.320,0.292,0.269,0.012,0.014,1.316,1.269,0.311,0.312,0.284,0.289,0.008,0.008,1.363,1.339,0.362,0.361,0.304,0.304,0.027,0.027,1.703,1.699,3.000,6.000,13.000,25.000,0.000,0.000,0.000,0.000,100.000,85.714,92.857,83.333,0.000,0.000,0.000,0.000,0.020,-0.034,-0.002,-0.002,6.600,0.420,0.294
Tr16,0.234,0.197,0.301,0.301,0.301,0.244,0.336,0.234,0.301,0.003,0.026,0.790,0.950,0.287,0.288,0.234,0.245,0.014,0.014,1.344,1.324,0.289,0.302,0.275,0.288,0.007,0.008,1.301,0.880,0.329,0.333,0.275,0.288,0.024,0.024,1.692,1.649,3.000,6.000,13.000,25.000,0.000,0.000,0.000,0.000,100.000,85.714,92.857,83.333,0.000,0.000,0.000,0.000,-0.033,0.002,0.000,0.000,4.700,0.790,0.110
Tr17,0.166,0.154,0.209,0.209,0.209,0.176,0.221,0.166,0.209,0.001,0.005,1.419,0.701,0.194,0.195,0.166,0.172,0.003,0.003,1.320,1.304,0.196,0.203,0.192,0.202,0.002,0.002,1.187,0.782,0.217,0.218,0.192,0.201,0.005,0.005,1.628,1.619,3.000,6.000,13.000,22.000,0.000,0.000,0.000,0.000,100.000,85.714,92.857,73.333,0.000,0.000,0.000,0.000,-0.022,0.001,-0.001,0.000,5.800,0.310,0.145
Tr18,0.027,0.026,0.019,0.020,0.021,0.023,0.039,0.023,0.026,0.000,0.001,-0.236,1.622,0.036,0.036,0.023,0.024,0.001,0.001,1.204,1.198,0.035,0.036,0.029,0.033,0.000,0.000,1.394,1.195,0.042,0.043,0.029,0.033,0.001,0.001,1.914,1.921,3.000,7.000,12.000,21.000,0.000,0.000,0.000,0.000,100.000,100.000,85.714,70.000,0.000,0.000,0.000,0.000,-0.001,0.001,-0.002,-0.002,1.900,0.330,0.145
